model_name,quantization,activation_precision,governor,prefill_len,decode_len,input_tokens,output_tokens,prefill_latency_s,decode_latency_s,prefill_tps,decode_tps,prefill_avg_power_w,decode_avg_power_w,prefill_energy_j,decode_energy_j,prefill_energy_per_token_in,decode_energy_per_token_out,prefill_tokens_per_s_per_w,decode_tokens_per_s_per_w,prefill_avg_cpu,prefill_peak_mem_gb,prefill_max_temp_c,prefill_freq_mean_mhz,prefill_freq_min_mhz,prefill_freq_max_mhz,prefill_throttled_any,decode_avg_cpu,decode_peak_mem_gb,decode_max_temp_c,decode_freq_mean_mhz,decode_freq_min_mhz,decode_freq_max_mhz,decode_throttled_any
SmolLM2-135M,None (Full Precision),32-bit,ondemand,2048,128,429,128,173.54736328125,130.87087988853455,2.4719476682844483,0.9780632644100832,5.533947275114905,5.487368940092166,955.56315,714.4220999999999,2.2274199300699298,5.581422656249999,0.44668796889343726,0.17823902039173908,99.8113595706619,1.2235260009765625,87.8,1611.0340263613596,1500.009472,2256.032768,True,99.83811230585424,1.2235260009765625,87.8,1619.9448859832737,1500.009472,2256.029184,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,1024,512,199,197,1.12434720993042,180.52182626724243,176.99158964632917,1.0912807834569735,5.436111111111112,5.483311573472041,0.0,988.0466499999993,0.0,5.015465228426392,32.55849375200741,0.1990185618370712,100.0,1.2062225341796875,86.7,1684.5906834285713,1500.016128,2146.018816,True,99.81723549488055,1.2064208984375,87.3,1644.045618238908,1500.009472,2256.016128,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,1024,512,199,200,0.7050011157989502,161.16866946220398,282.2690568006847,1.240935975133197,0.0,5.506281837916063,0.0,880.4256500000005,0.0,4.402128250000002,0.0,0.22536731893891726,99.75,1.2064208984375,86.7,1500.016928,1500.0128,1500.022656,True,99.82083739045764,1.2064208984375,87.3,1622.1826344381695,1500.009472,2256.029184,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,1024,512,199,498,0.9921362400054932,468.8930311203003,200.57729168213652,1.0620759255264598,5.2793375000000005,5.487928610626091,0.0,2568.006850000002,0.0,5.15664026104418,37.992890525020705,0.19352947184298244,100.0,1.2063446044921875,86.2,1715.3563733333333,1500.016128,2146.032,True,99.81927831607082,1.2103118896484375,87.8,1623.9190286882726,1500.009472,2256.03584,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,2048,128,429,128,156.45638871192932,95.78907823562622,2.74197815462738,1.3362692527966489,5.501441238670695,5.502353468899521,852.4746500000001,523.6915,1.9871203962703965,4.09133984375,0.4984108773812733,0.2428541278472073,99.8316430020284,1.22222900390625,87.3,1637.3549225801216,1500.009472,2256.032768,True,99.80888529886914,1.2274932861328125,87.8,1596.2319678449112,1500.009472,2256.03584,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,2048,512,429,452,188.10296082496643,411.35203647613525,2.2806658551174697,1.098815515469614,5.487420886460231,5.506476713107762,1024.2268999999997,2264.6419,2.387475291375291,5.010269690265487,0.4156170817414114,0.19954965265792635,99.79809128630706,1.2235260009765625,87.8,1612.8513452082989,1500.009472,2256.032768,True,99.81943597560976,1.228302001953125,87.8,1624.1668222439025,1500.009472,2256.03584,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,2048,128,429,128,164.30431699752808,106.17785477638245,2.6110086931340595,1.2055244501744402,5.541010778859527,5.642996634093376,907.1811,593.2896999999999,2.114641258741259,4.635075781249999,0.47121523442902735,0.21363196335985837,99.67601895734597,1.22265625,87.8,1616.3344434957346,1500.009472,2311.02464,True,99.75809379727686,1.22528076171875,87.3,1626.7782386444783,1500.009472,2256.019456,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,2048,128,429,128,124.12223076820374,115.44273829460144,3.456270462953172,1.1087748081074909,5.667736808118081,5.561180558325025,702.0529000000002,640.3003999999999,1.636486946386947,5.002346874999999,0.6098149190701032,0.19937759554446896,99.57295514511874,1.227691650390625,87.3,1631.22906562533,1500.009472,2256.032768,True,99.78744884038198,1.227691650390625,87.3,1651.7178619809006,1500.009472,2256.026112,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,2048,128,429,128,139.1194829940796,94.50639748573303,3.083680234911861,1.3544056635882589,5.632561767134599,5.586711843711844,776.4164499999999,524.69325,1.8098285547785546,4.099166015625,0.5474738427024108,0.24243342085250344,99.7955223880597,1.225311279296875,87.3,1629.907762553387,1500.009472,2256.029184,True,99.79165302782323,1.225311279296875,87.3,1629.930591319149,1500.009472,2256.022784,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,2048,128,429,128,162.4429473876953,97.74429607391357,2.6409272110541364,1.3095393300823126,5.6159323446327685,5.567063345195729,901.7059999999999,537.9803500000002,2.1018787878787877,4.202971484375001,0.47025623689681917,0.2352298238554121,99.79980713596913,1.2277069091796875,87.3,1626.9824929450338,1500.009472,2256.032768,True,99.82121212121213,1.2277069091796875,87.3,1614.9961366251994,1500.009472,2256.019456,True
